,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1658,False,False,True,858,30,24,49,59283,52010,27,59,166,8,1,3,2,0,1,803,24,30,43,52681,51035,23,69,173,3,0,1,4,0,0
0,1606,False,False,False,753,19,24,31,46879,45525,19,51,150,3,0,0,3,0,1,807,24,20,48,55950,50308,25,62,162,10,2,4,3,1,0
0,1160,True,False,False,556,11,26,12,33611,30625,9,38,85,2,0,0,0,0,0,623,26,12,40,41684,36800,12,44,106,4,0,2,6,0,1
0,1797,False,False,False,856,29,41,30,55484,61680,24,75,174,1,0,2,3,0,0,857,41,29,55,68169,60350,28,65,163,11,4,1,1,2,1
0,2041,False,False,False,1018,24,45,42,65286,62558,20,76,156,2,0,1,0,0,0,1058,45,24,67,79886,72450,35,73,235,11,5,4,6,3,1
0,914,True,False,True,468,17,7,20,31207,24550,5,30,69,2,0,1,3,0,0,445,7,17,9,26024,23475,2,20,39,1,0,0,0,0,0
0,1236,True,False,True,613,21,9,35,41272,39170,20,40,99,5,0,2,0,0,1,606,9,21,14,37321,35960,8,54,99,5,0,0,6,0,0
0,1117,False,False,True,662,17,3,26,42741,34975,5,38,84,10,2,2,3,0,1,523,3,17,4,29357,26425,9,32,63,2,0,0,3,0,0
0,1451,False,False,True,717,31,18,60,56909,49900,24,68,161,10,2,1,3,1,1,739,18,31,28,45621,43495,21,60,143,3,0,2,3,0,0
0,1295,False,False,False,658,13,30,20,40633,38375,13,43,100,3,0,0,6,0,0,825,30,13,53,55063,43960,17,45,114,10,1,3,0,1,1
0,2146,False,False,False,1009,24,40,32,68132,66780,40,98,271,7,0,1,6,1,0,1048,40,24,72,75941,70458,40,99,277,9,1,4,0,1,1
0,1752,False,False,True,943,28,14,42,59103,52445,26,60,155,7,1,2,6,0,1,947,14,28,21,55994,54133,29,68,187,5,0,2,0,1,0
0,1470,False,False,False,761,22,30,27,46112,44887,23,59,158,2,0,1,2,0,0,832,30,22,54,58593,53150,18,58,130,9,1,2,4,1,1
0,1759,False,False,True,879,35,19,72,65091,58925,27,78,164,11,3,4,5,2,1,919,19,35,36,56391,55100,27,97,192,4,0,0,1,0,0
0,1224,True,False,False,638,9,22,6,34165,31150,21,53,114,2,0,0,2,0,0,594,22,11,42,40330,35200,20,64,140,3,0,2,2,0,1
0,1533,False,False,False,755,16,19,21,43671,41758,21,48,146,1,0,0,1,0,0,874,19,16,36,55031,47275,16,66,162,9,1,3,2,1,1
0,1940,False,False,True,952,29,24,58,63904,55900,71,105,246,7,1,0,6,1,1,922,24,29,47,61083,58350,44,130,275,5,0,4,0,0,0
0,1489,False,False,True,740,38,17,57,62403,53805,14,57,135,11,2,4,0,0,1,788,17,38,21,46710,44925,21,53,136,2,0,0,6,0,0
0,2312,False,False,True,1054,33,47,43,77475,71180,26,89,224,10,1,3,1,2,1,956,47,33,82,76623,75220,36,81,240,7,1,2,5,1,0
0,1262,False,False,False,503,20,38,26,37402,33800,4,51,77,0,0,0,0,0,0,620,38,20,55,52885,47535,6,43,98,10,1,2,6,0,1
0,1123,True,False,False,534,16,21,20,34379,33776,10,35,85,2,0,1,5,0,1,607,20,16,27,39541,32650,10,46,98,3,0,2,1,0,0
0,2152,False,False,False,1067,48,42,61,76720,70483,13,83,186,8,3,4,0,0,0,988,41,48,78,81232,76536,34,67,205,9,2,1,6,3,1
0,1540,False,False,False,653,23,52,26,50731,48687,11,56,109,2,0,0,1,0,1,744,52,23,61,63460,59158,17,47,148,9,1,2,5,1,0
0,1465,False,False,False,628,28,49,36,47103,46108,12,60,127,1,0,1,3,0,1,792,49,28,72,63928,57300,22,64,165,10,2,2,3,1,0
0,1469,False,False,True,807,34,13,62,57172,50733,26,69,179,10,2,1,6,1,1,768,12,34,16,43618,39500,18,61,139,3,1,2,0,0,0
0,1337,True,False,False,653,13,24,20,37529,35225,30,42,105,0,0,0,0,0,0,753,24,13,46,49139,39825,20,69,153,6,0,2,6,1,1
0,1883,False,False,True,1115,29,21,46,70460,62958,34,69,182,10,2,2,2,1,0,1055,21,29,31,59515,57575,26,84,199,4,0,3,1,0,1
0,1597,False,False,True,885,35,23,68,62013,55795,23,65,176,10,2,1,6,1,1,830,22,35,32,51330,48575,29,66,171,3,0,2,0,0,0
0,1105,True,False,False,599,6,22,10,30845,27350,9,42,76,1,0,0,0,0,0,664,22,6,32,42055,36830,20,49,127,4,0,2,6,0,1
0,1237,True,False,True,641,27,18,40,47022,42305,14,62,120,6,0,2,3,0,1,538,18,27,24,36687,33850,20,38,102,1,0,1,3,0,0
0,948,True,False,True,464,20,6,17,32649,25850,7,40,90,3,0,1,3,0,0,501,6,20,1,25974,25050,9,32,72,0,0,1,3,0,0
0,1285,False,False,True,702,25,11,53,45629,38750,14,42,97,7,1,2,3,0,0,681,10,26,11,40510,38150,12,55,121,3,0,1,3,0,1
0,1629,False,False,False,861,15,23,27,46768,44400,26,77,181,2,0,1,6,0,1,946,23,15,40,58125,49158,34,76,198,9,1,3,0,1,0
0,1908,False,False,False,878,48,36,78,71597,68235,43,88,264,4,0,3,0,1,1,944,36,48,64,69601,62805,25,78,176,8,1,1,3,0,0
0,2030,False,False,False,920,29,17,54,61058,57205,27,105,233,3,0,3,0,0,1,1047,17,29,29,66213,60518,39,74,225,8,1,2,3,2,0
0,1942,True,False,True,1116,32,26,68,74554,69375,34,92,210,9,1,3,0,1,0,1059,26,32,43,67133,65625,38,96,261,9,2,1,6,1,1
0,1773,False,False,True,876,42,27,72,66147,60125,30,64,179,8,1,4,1,1,0,809,27,43,40,56914,53425,22,73,164,4,0,0,0,0,1
0,1560,True,False,False,756,21,35,30,47436,43350,27,69,166,2,0,3,6,0,0,783,35,21,52,58456,55050,34,68,181,6,1,1,0,1,1
0,1613,True,False,False,743,27,46,32,51465,46125,15,46,107,2,0,0,6,0,1,832,46,27,68,65996,58675,23,64,157,10,2,4,0,1,0
0,1567,False,False,False,763,14,25,19,45438,40908,22,63,135,1,0,0,0,0,1,853,25,14,56,57098,51650,19,52,151,9,1,3,6,1,0
0,2074,False,False,True,1067,41,30,89,80099,74840,63,133,271,10,2,3,6,2,0,1107,30,41,52,72910,70455,61,145,297,5,0,2,0,0,1
0,1778,False,False,True,907,44,30,64,69081,63000,35,79,236,9,1,4,1,1,1,819,30,44,52,60901,58205,20,70,148,3,0,0,2,1,0
0,1564,False,False,False,743,25,35,41,50297,46730,28,66,152,2,0,2,1,0,0,733,35,26,59,58246,50785,23,82,184,10,2,1,5,1,1
0,2179,False,False,False,1047,29,45,49,73396,71583,39,88,247,8,1,0,3,1,0,1035,45,29,77,76974,70108,36,87,240,7,1,5,3,1,1
0,2152,True,False,False,981,30,38,59,66918,63433,26,99,223,4,0,3,6,1,0,1065,38,30,74,74264,74955,40,76,218,8,1,2,0,1,1
0,1771,False,False,False,906,24,35,34,57120,55075,25,62,154,3,0,0,3,0,0,939,35,24,58,66168,55485,33,77,192,10,1,4,3,1,1
0,909,False,False,False,365,3,22,2,20393,17050,4,25,45,0,0,0,0,0,0,567,22,3,20,38008,31305,7,33,78,9,2,2,6,0,0
0,1779,False,False,False,812,29,42,49,59572,55718,29,61,168,4,0,1,0,0,0,843,42,29,76,68918,63800,24,88,200,10,2,3,6,1,1
0,1761,False,False,False,734,40,52,65,63447,59020,25,89,196,3,0,0,4,1,0,818,52,40,94,73079,66375,37,87,224,10,2,4,2,1,0
0,1570,True,False,True,666,34,33,52,56097,48950,34,91,197,4,0,1,0,0,0,869,33,34,46,56691,56435,34,76,173,5,0,3,6,0,1
0,1825,True,False,True,849,41,28,64,64731,61275,29,73,213,8,3,2,1,0,1,838,28,41,44,59779,57275,24,79,172,1,0,2,2,1,0
0,1509,False,False,False,714,10,26,17,40870,40155,23,76,171,1,0,0,4,0,0,817,26,10,40,57202,51225,35,64,169,9,1,4,2,1,1
0,1554,False,False,True,804,29,19,42,55875,48408,34,85,202,8,1,4,3,0,0,839,19,29,28,53273,51450,29,70,153,5,0,0,3,1,1
0,1565,False,False,False,757,16,33,26,48127,44400,17,78,161,4,0,2,4,0,1,821,33,18,65,59400,51985,29,61,147,10,2,1,2,1,0
0,1880,False,False,False,813,28,35,60,57660,54525,17,81,146,2,0,2,3,0,0,944,35,28,53,68455,62900,27,60,176,11,2,3,3,1,1
