,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,490,36458,35,16,16,2,0,3,0,492,39262,16,16,40,1,1,2,0,0
0,373,36230,30,20,31,0,0,0,0,415,40697,31,20,43,2,1,5,0,0
0,422,35746,30,18,12,3,0,2,0,409,32731,12,18,52,0,1,2,0,1
0,486,36276,198,14,13,2,1,2,0,446,34015,13,14,44,0,0,3,0,0
0,419,36055,176,19,9,2,0,2,0,436,31420,9,19,85,0,1,0,0,1
0,423,34580,32,16,14,1,0,2,0,384,32843,14,16,33,1,0,2,0,1
0,373,33571,35,18,13,1,1,1,0,420,35264,13,18,28,1,0,4,0,0
0,388,33784,36,13,18,1,1,2,0,386,34325,18,13,26,0,0,3,0,0
0,506,42557,32,22,20,1,0,1,0,481,38134,20,22,43,2,1,4,0,1
0,375,29281,33,11,11,1,1,1,0,436,32637,11,11,37,1,0,3,0,0
0,451,33355,467,12,9,3,2,0,0,434,29943,9,12,41,0,0,1,0,0
0,493,36383,112,17,8,1,1,0,0,499,34181,8,17,40,1,0,2,0,0
0,421,34565,95,17,9,1,1,2,0,473,34430,9,17,178,2,0,3,0,1
0,400,36311,82,16,30,1,1,1,0,478,45968,30,16,44,2,0,8,0,0
0,526,36079,46,11,3,3,1,5,0,432,27512,3,11,59,0,0,0,0,1
0,496,36445,303,18,11,0,1,2,0,472,35334,11,18,53,2,0,3,0,0
0,409,38386,43,27,18,2,0,0,0,399,37376,18,27,13,0,1,4,0,1
0,390,30710,30,8,22,0,0,0,0,461,37548,22,8,39,2,1,4,0,0
0,430,35035,32,16,21,0,1,1,0,426,36455,21,16,192,3,0,4,0,0
0,398,33313,29,18,20,0,0,0,0,412,38785,20,18,49,2,0,3,0,0
0,419,38851,33,24,18,0,1,2,0,452,36377,18,24,43,2,0,2,0,1
0,440,39601,27,22,19,2,1,3,0,379,34136,19,22,177,0,0,2,0,1
0,401,36566,83,23,15,1,0,2,0,390,33035,15,23,46,1,0,3,0,1
0,469,37947,51,15,20,1,1,3,0,456,38329,20,15,44,1,0,4,0,0
0,385,29843,60,11,17,1,0,0,0,400,34364,17,11,43,1,1,2,0,0
0,418,34014,28,14,16,2,1,1,0,404,35838,16,14,64,0,0,4,0,1
0,414,33244,355,12,15,0,2,2,0,435,34717,15,12,23,2,0,5,0,0
0,425,34722,33,17,15,1,0,0,0,417,34711,15,17,31,1,2,5,0,0
0,479,37784,45,15,18,2,1,3,0,433,37574,18,15,37,1,0,2,0,0
0,376,34494,30,20,20,0,0,2,0,392,34215,20,20,192,2,1,2,0,0
0,414,35908,34,18,21,0,1,2,0,392,33916,21,18,35,2,0,2,0,0
0,416,37391,55,21,12,2,0,3,0,344,30912,12,21,38,0,0,3,0,1
0,395,36240,34,22,26,1,1,1,0,427,39871,26,22,50,2,0,5,0,0
0,467,45261,43,29,15,1,1,4,0,415,33478,15,29,28,1,0,0,0,1
0,425,39003,49,24,21,1,0,2,0,458,38645,21,24,180,1,1,3,0,1
0,393,34072,33,18,10,1,0,0,0,343,29406,10,18,82,1,1,3,0,1
0,454,34365,239,12,19,1,0,0,0,455,37884,19,12,34,1,1,5,0,0
0,421,40581,36,25,19,0,1,2,0,319,34804,19,25,23,2,0,3,0,1
0,379,34506,181,21,18,1,0,0,0,329,33973,18,21,41,1,1,3,0,0
0,418,32128,40,13,23,0,0,1,0,498,39690,23,13,29,2,1,4,0,0
0,460,36454,32,17,22,1,1,1,0,499,40368,22,17,48,1,0,3,0,0
0,338,29899,44,8,21,1,0,0,0,420,37645,21,8,44,1,1,6,1,0
0,457,36420,37,15,17,0,0,1,0,461,36539,17,15,33,2,1,1,0,0
0,368,39566,32,23,22,2,1,4,0,365,37177,22,23,116,0,0,3,0,1
0,374,37891,18,24,20,1,0,1,0,418,37707,20,24,33,2,0,3,0,0
0,482,33684,35,8,5,3,1,2,0,404,28282,5,8,124,0,0,1,0,1
0,369,34082,44,18,19,1,1,2,0,454,37724,19,18,417,1,0,4,0,0
0,472,43913,41,26,13,1,0,5,0,348,32033,13,26,39,1,1,0,0,1
0,378,33818,68,13,20,0,0,0,0,429,37541,20,13,34,1,1,6,0,0
0,387,37395,31,18,32,0,0,3,0,441,44029,32,18,43,2,0,4,0,0
0,517,36048,26,14,15,1,0,3,0,411,33805,15,14,51,1,2,1,0,1
0,417,31935,77,12,8,1,0,0,0,488,32713,8,12,98,1,0,2,0,0
0,403,34035,92,12,18,2,1,2,0,348,33031,18,12,102,0,0,3,0,1
0,446,34538,32,15,18,0,1,0,0,503,38369,18,15,40,2,0,3,0,0
0,391,31552,24,14,22,0,0,1,0,399,37564,22,14,35,2,1,4,0,0
0,484,42778,39,23,8,2,1,5,0,433,30795,8,23,37,0,0,0,0,1
0,356,35855,93,20,18,1,0,0,0,423,35217,18,20,99,1,0,3,0,1
0,363,35269,27,21,16,1,2,2,0,477,37079,16,21,60,0,0,3,0,0
0,401,37079,43,22,10,2,1,2,0,347,31357,10,22,32,0,0,3,0,1
0,372,30325,417,10,27,0,0,0,0,380,39402,27,10,193,2,1,4,0,0
0,510,35113,40,12,20,1,0,3,0,496,36744,20,12,175,1,0,1,0,1
