,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,450,32507,33,10,18,0,1,1,0,479,37023,18,10,56,3,0,4,0,0
0,423,44797,60,27,28,0,1,2,0,373,40840,28,27,39,2,0,4,0,0
0,434,37470,37,22,19,1,0,0,0,483,40261,19,22,32,1,1,5,0,1
0,425,38648,46,23,12,1,1,3,0,509,35880,12,23,51,2,0,2,0,1
0,519,37562,35,16,21,2,0,1,0,526,40480,21,16,35,1,1,5,0,0
0,438,44892,42,37,23,1,1,2,0,396,39992,23,37,42,2,0,2,0,1
0,425,28028,44,4,22,0,0,0,0,502,41393,22,4,71,3,1,4,0,0
0,473,34330,40,15,23,0,0,0,0,509,41193,23,15,80,2,1,5,0,0
0,445,30991,142,6,14,1,0,1,0,499,35750,14,6,33,2,1,3,0,0
0,463,38575,49,18,12,1,1,3,0,452,32633,12,18,42,1,0,2,0,1
0,521,38752,42,15,9,0,1,3,0,497,32997,9,15,35,1,0,3,0,1
0,500,33540,39,11,13,0,0,0,0,527,36558,13,11,42,2,1,3,0,0
0,504,37506,44,15,17,2,0,2,0,503,38293,17,15,46,0,1,4,0,0
0,495,34516,40,11,11,2,1,1,0,488,33698,11,11,45,1,0,2,0,0
0,488,32541,43,9,10,2,0,1,0,471,32869,10,9,39,0,1,2,0,1
0,503,35056,50,14,10,0,1,1,0,547,36583,10,14,59,1,0,3,0,1
0,413,32467,46,15,20,0,0,0,0,442,38606,20,15,37,3,1,6,0,0
0,502,35346,50,14,12,0,1,1,0,491,35251,12,14,41,2,0,1,0,0
0,429,36113,84,15,28,0,0,2,0,502,41614,28,15,59,2,1,3,0,0
0,443,33749,33,11,29,0,0,0,0,454,42929,29,11,47,2,1,8,0,0
0,550,36551,47,7,7,3,1,5,0,506,31085,7,7,45,0,0,0,0,1
0,418,36854,114,19,18,0,1,2,0,461,37419,18,19,100,2,0,3,0,1
0,442,33894,114,14,24,0,0,0,0,499,41729,24,14,40,3,1,5,0,0
0,521,37025,49,11,23,0,1,1,0,509,39038,23,11,44,2,0,5,0,1
0,505,38369,43,17,7,3,1,4,0,497,32784,7,17,36,0,0,1,0,1
0,537,33738,40,11,18,0,1,1,0,536,40075,18,11,54,2,0,4,0,0
0,450,35538,36,15,20,1,0,1,0,424,37669,20,15,40,1,1,2,0,0
0,533,37507,32,13,19,0,1,1,0,463,37706,19,13,41,3,0,4,0,0
0,460,31948,80,8,25,0,0,1,0,447,39548,25,8,48,2,1,5,1,0
0,492,36481,42,15,13,1,1,2,0,491,33283,13,15,39,1,0,2,0,1
0,454,33550,51,10,22,0,1,1,0,488,39236,22,10,33,3,0,5,0,0
0,469,34017,42,13,16,0,0,1,0,483,37419,16,13,40,3,1,4,0,0
0,480,36939,47,20,17,0,1,1,0,464,39170,17,20,40,1,0,5,0,0
0,424,43011,59,32,15,0,1,3,0,378,35423,15,32,48,2,0,2,0,1
0,469,35894,36,15,16,0,0,1,0,443,37033,16,15,37,2,1,4,0,0
0,441,37729,42,23,24,1,0,0,0,448,38974,24,23,35,1,1,3,0,1
0,493,46363,181,30,8,0,1,6,3,412,29710,8,30,39,1,0,3,0,1
0,532,34916,61,12,9,1,0,1,0,496,34148,9,12,51,1,1,3,0,0
0,423,31335,41,11,16,0,0,1,0,494,39320,16,11,83,2,1,5,0,0
0,455,34568,38,15,13,0,0,1,0,479,35090,13,15,81,2,0,2,0,1
0,440,38258,53,19,24,0,1,2,0,461,39344,24,19,35,2,0,1,0,0
0,479,34312,43,12,23,0,1,0,0,515,42871,23,12,42,2,0,5,0,0
0,478,33351,41,12,19,0,0,0,0,504,40156,19,12,52,2,1,4,0,0
0,502,38647,39,20,13,1,1,1,0,444,33521,13,20,34,0,0,1,0,1
0,516,46914,44,29,13,2,1,5,0,468,36172,13,29,41,1,0,4,0,1
