,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
6641,1159,True,False,True,551,29,7,41,40741,35575,9,30,77,5,0,2,4,0,1,565,7,29,8,32127,30175,4,31,55,1,0,1,2,0,0
6642,1661,False,False,True,793,36,24,39,61396,56550,9,54,131,11,3,3,0,1,0,731,23,36,19,49207,46855,12,43,111,2,0,1,6,0,0
6643,1616,False,False,True,815,31,14,37,56135,54975,11,59,138,10,2,3,0,1,1,789,14,31,13,47935,42425,11,53,111,2,0,1,3,0,0
6644,1266,False,False,True,611,30,18,21,46042,42791,4,31,73,8,1,3,6,0,1,434,16,30,18,34582,32308,4,20,49,1,0,0,0,0,0
6645,2448,False,False,True,1085,52,42,86,84842,75108,27,86,224,11,1,4,1,1,1,979,42,52,46,79400,77138,25,102,234,7,1,2,2,2,0
6646,1522,False,False,True,666,44,15,55,54333,46175,7,42,95,10,2,3,0,0,0,482,14,44,20,38065,35425,4,49,74,0,0,0,0,0,0
6647,1637,False,False,False,672,35,34,45,51451,49308,13,46,115,2,0,1,0,0,0,787,33,35,32,59292,49513,16,35,99,11,3,2,6,0,0
6648,2048,False,False,False,920,27,32,34,63357,60160,15,65,143,6,0,3,5,0,0,1029,31,27,50,70074,59750,17,66,162,10,2,2,1,1,1
6649,2049,False,False,False,792,40,42,50,63762,59230,10,73,171,4,0,1,1,0,0,962,42,40,37,72328,64430,13,69,143,9,2,3,4,1,1
6650,2135,False,False,True,1052,37,34,55,77005,68958,31,71,209,10,3,3,6,1,0,1029,34,37,63,68663,68925,19,71,164,5,1,2,0,1,1
6651,1146,True,False,False,420,14,30,15,30354,28708,3,46,86,0,0,1,0,0,0,549,30,15,55,43538,37650,10,26,74,5,0,1,6,0,1
6652,1614,True,False,True,832,38,17,39,63445,54650,11,62,127,11,3,3,3,1,1,735,17,38,21,45702,43855,15,54,117,2,0,0,0,0,0
6653,1530,True,False,False,522,24,30,36,41827,40450,22,53,142,1,0,1,3,0,0,646,30,24,47,51820,44200,19,61,153,9,2,3,0,1,1
6654,1645,False,False,False,695,25,38,27,49542,46833,8,48,98,3,0,2,6,0,1,722,38,25,60,62031,54550,13,60,140,11,2,2,0,1,0
6655,1600,False,False,True,775,32,19,46,58732,49375,8,63,125,10,2,2,6,1,1,636,19,32,29,43105,40800,3,47,81,0,0,1,0,0,0
6656,1293,True,False,False,550,9,20,8,31975,28925,11,32,74,0,0,1,0,0,0,616,20,9,18,39740,37012,13,43,102,3,0,1,3,0,0
6657,2106,False,False,True,983,53,23,65,76398,67975,14,68,179,10,2,5,0,1,0,945,23,53,30,63349,61448,6,59,124,4,1,0,6,0,1
6658,1766,False,False,False,765,23,33,32,53318,51400,11,53,114,4,0,2,0,0,0,850,33,23,32,60940,53250,5,67,146,11,3,2,3,0,1
6659,1758,True,False,False,833,23,36,27,53300,51183,15,55,135,3,0,2,3,0,0,882,36,23,29,62430,54678,12,57,130,9,1,2,0,1,1
6660,1663,False,False,False,821,25,33,38,54210,53415,14,62,148,4,0,0,2,0,0,882,33,26,34,62851,57070,20,65,148,10,2,4,1,1,1
6661,1494,False,False,False,608,15,30,22,42717,39050,11,36,93,2,0,0,1,0,1,683,30,15,41,54392,47985,12,49,116,11,3,3,5,1,0
6662,1847,False,False,False,757,33,49,49,60200,57750,34,68,143,0,0,1,0,0,0,866,49,33,47,69745,65548,20,77,170,11,2,4,6,1,1
6663,1386,False,False,True,634,28,15,32,48597,41285,14,35,94,8,1,2,6,0,1,554,15,28,15,36785,35058,5,47,89,0,0,0,0,0,0
6664,105,False,True,False,1,0,0,0,2533,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,0,0,0,0,0,0,0,0
6665,1764,False,False,False,778,29,34,42,55090,53073,18,50,122,3,0,1,1,0,0,873,34,29,43,63665,56775,15,56,142,9,1,2,5,1,1
6666,1702,False,False,False,797,31,26,33,54710,53325,18,53,126,2,0,1,3,0,0,829,26,31,27,57017,51520,15,67,142,10,2,3,3,0,0
6667,1657,False,False,False,730,30,31,31,55282,51825,6,58,120,7,0,1,3,1,1,792,31,30,52,58528,48705,16,44,111,9,1,3,0,0,0
6668,2167,True,False,True,934,49,37,57,78812,71830,17,92,200,11,5,3,3,2,1,1029,37,49,48,72974,66335,34,52,148,4,0,2,3,0,0
6669,2237,False,False,True,964,61,32,88,79005,70325,24,54,172,9,1,4,1,0,1,858,32,61,57,72851,74425,10,69,146,5,0,2,5,2,0
6670,1626,False,False,True,757,30,24,54,59128,51050,12,75,154,11,3,1,6,1,0,755,24,30,33,51750,47575,23,48,129,4,0,2,0,0,0
6671,1564,False,False,True,770,31,16,43,53823,46450,16,57,152,8,1,3,1,0,1,726,16,31,20,44090,41910,11,58,116,3,0,1,5,0,0
