,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
2942,1401,False,False,True,771,36,29,47,54843,49140,12,42,111,8,1,2,0,0,0,651,29,37,32,46548,44385,13,38,97,3,0,1,6,0,1
2943,1478,False,False,False,777,17,33,28,46848,45990,18,53,137,4,0,0,6,0,0,801,33,17,51,59037,53725,15,56,120,11,3,2,0,1,1
2944,1229,False,False,False,603,11,33,11,35599,33475,13,34,88,1,0,0,4,0,0,593,33,11,53,46485,39235,10,47,108,9,2,2,2,0,1
2945,1880,False,False,True,941,22,29,43,63732,55476,25,89,195,9,1,2,4,1,1,884,29,22,51,59726,57800,39,75,213,6,0,3,2,1,0
2946,1710,False,False,True,963,29,20,68,61577,53133,18,67,171,8,1,4,3,1,0,814,20,29,30,52121,50913,21,64,167,2,0,0,0,1,1
2947,969,True,False,True,542,15,5,17,33359,28208,11,44,87,3,0,2,6,0,0,519,5,15,3,25455,24285,10,28,54,0,0,0,0,0,0
2948,1621,False,False,True,733,36,20,68,59985,55525,15,63,138,11,3,1,3,1,1,724,19,36,26,47847,45555,14,55,125,2,0,2,3,0,0
2949,1839,False,False,False,744,33,48,63,60548,56025,18,78,162,5,0,0,0,0,0,858,48,33,73,70220,63800,35,59,172,9,1,4,6,1,0
2950,1282,True,False,True,735,33,20,42,50384,48600,12,41,93,7,0,0,3,0,1,541,20,33,25,37935,36325,10,46,98,0,0,2,0,0,0
2951,1554,False,False,True,701,34,16,68,55352,49560,28,85,213,7,1,2,0,1,1,843,15,34,22,48027,42150,31,61,142,5,0,2,3,0,0
2952,926,True,False,False,447,13,23,14,29268,26645,12,34,67,0,0,0,3,0,0,477,23,13,31,34723,28525,9,42,90,3,0,1,3,0,1
2953,1723,False,False,False,889,22,34,38,54267,52300,26,48,137,2,0,1,6,0,0,921,34,22,68,65964,59212,19,66,169,11,2,4,0,1,1
2954,1711,False,False,False,860,27,34,36,60549,56060,19,63,149,4,0,1,6,0,0,946,34,27,39,67193,57745,18,57,148,10,1,3,0,2,0
2955,1299,True,False,False,600,14,27,24,38592,36158,9,51,109,2,0,0,3,0,1,802,27,14,49,49966,42725,17,42,105,5,0,3,0,1,0
2956,921,True,False,False,378,4,24,6,21725,19037,4,43,57,0,0,0,1,0,0,504,24,4,29,36604,30425,8,29,70,5,0,1,2,0,0
2957,1309,False,False,True,783,26,12,34,49783,40825,14,49,113,7,1,2,4,0,1,694,12,26,20,38639,37058,15,49,114,1,0,1,2,0,0
2958,1815,False,False,True,983,37,23,78,67432,61660,35,75,182,9,1,0,3,1,1,845,23,37,49,57381,55768,24,89,167,2,0,4,3,1,0
2959,1995,False,False,True,995,29,15,45,67841,61550,28,86,205,10,2,1,0,2,1,1064,15,29,30,61113,59383,41,80,248,5,1,3,6,0,0
2960,1502,False,False,True,813,38,25,37,60141,53258,13,58,132,10,2,3,6,1,1,707,25,38,34,51477,48133,7,57,117,5,0,0,0,0,0
2961,1298,True,False,False,591,17,22,23,36482,34033,19,45,113,0,0,2,0,0,0,617,22,17,39,43113,40475,12,59,121,3,0,0,3,1,0
2962,1607,True,False,False,813,11,20,14,44197,40458,18,56,148,3,0,0,5,0,1,817,20,11,41,51049,46950,21,53,151,7,1,4,1,0,0
2963,1372,False,False,False,650,15,20,21,40849,37725,10,50,124,4,0,1,2,0,1,698,20,16,34,47638,41100,19,45,119,8,1,2,4,1,0
2964,1768,True,False,True,859,27,20,58,58610,51525,28,66,177,7,1,1,0,1,0,832,20,27,34,54609,54293,17,80,167,7,1,3,6,0,0
2965,1594,False,False,False,765,23,36,33,53172,52075,13,46,124,4,0,1,6,0,0,805,36,24,43,60264,54905,8,50,112,9,1,3,0,1,1
2966,1108,True,False,True,599,21,10,34,38854,33950,11,36,86,4,0,1,6,0,1,504,10,21,14,30553,28400,5,39,67,1,0,1,0,0,0
2967,2112,False,False,False,1030,33,33,45,67650,67075,43,71,277,3,0,3,5,1,0,1052,33,33,55,72504,64900,30,109,248,10,2,2,1,1,1
2968,1191,True,False,False,588,17,30,22,37066,34400,9,29,67,1,0,0,2,0,0,637,30,17,42,44305,41050,8,50,117,5,0,2,4,0,1
2969,961,True,False,True,549,14,4,18,32077,26558,14,52,102,3,0,1,5,0,1,522,4,14,5,25149,20550,24,37,90,0,0,1,1,0,0
2970,1829,False,False,True,865,46,27,85,72168,62330,35,72,197,10,2,2,3,2,1,889,27,46,47,61650,58275,36,113,235,3,0,3,0,0,0
2971,1436,True,False,False,659,18,36,29,43993,42037,9,50,113,1,0,0,3,0,0,778,36,18,37,57813,55063,9,39,97,9,2,3,3,1,1
2972,1284,True,False,False,572,19,33,25,40271,37775,10,60,107,1,0,0,3,0,0,643,33,19,40,48927,45225,18,48,120,5,0,3,3,1,1
2973,1828,False,False,False,937,24,37,23,62115,58358,20,67,166,4,0,1,1,1,1,961,37,25,49,66485,63210,25,66,175,9,1,4,2,1,0
2974,1474,False,False,False,755,13,27,18,43769,41500,9,41,92,4,0,0,3,0,1,784,27,13,47,54772,46000,11,54,113,10,2,3,0,1,0
2975,1560,True,False,False,740,7,19,14,43162,40655,24,57,146,3,0,0,6,0,1,874,19,7,33,51580,45150,24,67,165,6,1,3,0,1,0
2976,2021,False,False,True,940,44,40,49,73664,66885,41,111,263,8,1,3,6,1,0,912,40,44,71,71362,68600,36,93,206,10,1,2,0,1,1
2977,1356,True,False,True,648,22,20,33,46004,43312,15,61,106,4,0,0,3,0,1,771,20,22,27,46427,43550,21,48,124,3,0,3,0,0,0
2978,1547,True,False,True,745,31,30,48,53476,47800,19,68,141,3,0,1,0,1,1,731,30,31,37,50901,49080,31,71,171,2,0,2,3,0,0
